frame,status,lemma,example,functors,frequency,UMR concept,UMR roles,meaning,conversion rules,notes
v-w2_MPf100_MP,reviewed,sum,"""[...] (finis) qui item est universitatis principium""","ACT(obl), PAT(obl)",221,identity-91,ARG1|ARG2,,,
v-w73_MPf1_MP,obsolete,habeo,"""[...] (homo) aliquam partem habet [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf102_MP,reviewed,sum,"""[...] in intellectu iam Deum esse oporteat""","ACT(obl), LOC(non)",76,have-place-91,ARG1|ARG2,,,
v-w73_MPf2_MP,substituted_v-w73_MPf16_MP,habeo,"""[...] quia non habet amaritudinem conversatio illius [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf103_MP,reviewed,sum,"""eiusdem autem est [...] prosequi et [...] refutare [...]""","ACT(obl), PAT(obl)",4,sum-NEW-10,ARG1|ARG2,"be a duty of, be the office of someone",,"""it belongs to the wise man"""
v-w73_MPf3_MP,substituted_v-w73_MPf17_MP,habeo,"""[...] intellectus noster se habet [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf104_MP,reviewed,sum,"""[...] sapientiae studium est perfectius, sublimius, utilius et iucundius""","ACT(obl), PAT(obl)",175,have-mod-91,ARG1|ARG2,,,
v-w73_MPf4_MP,substituted_v-w73_MPf18_MP,habeo,"""[...] ex quo ratione (vertitas) haberi potest [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf105_MP,reviewed,sum,"""[...] in moventibus et motis non sit procedere in infinitum""","ACT(obl), LOC(non)",1,"(!delete,ACT)","!root,!modal-strength(neutral-affirmative)|place",,"delete the node, change modal-strength to neutral for the ACT",
v-w73_MPf5_MP,substituted_v-w73_MPf20_MP,habeo,"""[...] omni cognitione quam de substantiis inferioribus habemus""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf106_MP,reviewed,sum,"""[...] propositum nostra intentionis est veritatem [...] manifestare [...]""","ACT(obl), PAT(obl)",10,have-role-91,ARG1|ARG2,,,
v-w73_MPf6_MP,substituted_v-w73_MPf19_MP,habeo,"""[...] libri penes nos in verenartione habentur [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf107_MP,reviewed,sum,"""[...] difficile est procedere [...]""","ACT(obl), PAT(obl)",57,have-mod-91,ARG1|ARG2,,,
v-w73_MPf7_MP,substituted_v-w73_MPf21_MP,habeo,"""[...] haec tamen quae ratio naturaliter indita habet [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w73_MPf22_MP,obsolete,habeo,"""quo non habito [...]""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf8_MP,substituted_v-w73_MPf22_MP,habeo,"""quo non habito [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf109_MP,reviewed,sum,"""[...] quia non ita sunt nobis nota sigulorum errantium dicta [...]""","ACT(obl), PAT(obl)",6,have-mod-91,ARG1|ARG2,,,but at least one identity-91
v-w73_MPf9_MP,substituted_v-w73_MPf23_MP,habeo,"""[...] ergo habemus propositum [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf111_MP,reviewed,sum,"""quae tamen in rebus divinis deficiens est""","ACT(obl), PAT(obl)",64,have-mod-91,ARG1|ARG2,,,"I considered replacing sum with the main verb, but it's not consistent enough. sometimes ACT would be ARG0, sometimes ARG1, and there's diffferent constructions altoghether (e.g. the most among, ""would be as intermediate movers"",...)"
v-w73_MPf10_MP,substituted_v-w73_MPf24_MP,habeo,"""hoc autem habet aristoteles pro impossibili [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf112_MP,reviewed,sum,"""est autem in his [...] duplex veritatis modus""","ACT(obl), LOC(non)",22,have-place-91,ARG1|ARG2,,,
